timestamp,seconds_elapsed,accZ,accY,accX,gyrZ,gyrY,gyrX,label,hand
1696408655324663600,0.13166357421875,8.918401718139648,3.8447885513305664,0.6275801062583923,-0.0149132627993822,-0.3925383687019348,0.0117175634950399,NoActivity,right
1696408655334663700,0.14166357421875,9.064447402954102,3.784933567047119,0.8529343605041504,-0.0649792179465293,-0.0868164896965026,-0.0101197138428688,NoActivity,right
1696408655344663600,0.15166357421875,9.097966194152832,3.847182750701904,0.919972002506256,-0.0804250910878181,0.1597849577665329,-0.0378157719969749,NoActivity,right
1696408655354663700,0.16166357421875,9.13387966156006,3.90703797340393,0.735319197177887,-0.052729032933712,0.3477985858917236,-0.0703053772449493,NoActivity,right
1696408655364663600,0.17166357421875,8.927978515625,3.8711249828338623,0.4408323764801025,0.0037283156998455,0.44846311211586,-0.1075885370373725,NoActivity,right
1696408655374663700,0.18166357421875,8.80587387084961,3.832817554473877,0.1149216815829277,0.0713706091046333,0.4612458944320678,-0.1496652364730835,NoActivity,right
1696408655384663600,0.19166357421875,8.901641845703125,3.880701780319214,-0.0478840321302413,0.1491326242685318,0.4511261880397796,-0.1752308309078216,NoActivity,right
1696408655394663700,0.20166357421875,9.160215377807615,3.880701780319214,0.1125274822115898,0.2135792225599289,0.4612458944320678,-0.1576544940471649,NoActivity,right
1696408655404663600,0.21166357421875,9.280224800109863,3.9046437740325928,0.3187280893325805,0.2577863931655884,0.4649742245674133,-0.1102516204118728,NoActivity,right
1696408655414663700,0.22166357421875,9.280224800109863,3.990834951400757,0.4982932209968567,0.2615146934986114,0.4186365902423858,-0.0644465982913971,NoActivity,right
1696408655424663600,0.23166357421875,9.361627578735352,4.069843769073486,0.7041945457458496,0.2023942768573761,0.3323526978492737,-0.0298265255987644,NoActivity,right
1696408655434663700,0.24166357421875,9.220070838928224,3.1693243980407715,2.1152772903442383,0.0053261648863554,0.2407426685094833,-0.013315413147211,NoActivity,right
1696408655444663600,0.25166357421875,9.138668060302734,3.4638113975524902,1.8037316799163816,-0.2039921283721923,0.2178401499986648,0.0074566313996911,NoActivity,right
1696408655454663700,0.26166357421875,8.968679428100586,3.576338768005371,1.6002246141433716,-0.3829512596130371,0.1981333494186401,0.0175763443112373,NoActivity,right
1696408655464663600,0.27166357421875,8.937555313110352,3.8663365840911865,0.9941922426223756,-0.4958659708499908,0.154991403222084,0.0122501794248819,NoActivity,right
1696408655474663700,0.28166357421875,8.887276649475098,4.225766181945801,0.2561795711517334,-0.5262250900268555,0.0798924788832664,-0.0074566313996911,NoActivity,right
1696408655484663600,0.29166357421875,8.89685344696045,4.592078685760498,-0.4360439777374267,-0.4761591553688049,0.0351526886224746,-0.0165111124515533,NoActivity,right
1696408655494663700,0.30166357421875,9.014169692993164,4.858134746551514,-1.0564415454864502,-0.3632444739341736,0.0298265255987644,0.0047935484908521,NoActivity,right
1696408655504663600,0.31166357421875,9.047688484191896,5.008969306945801,-1.5068507194519043,-0.204524740576744,0.0069240145385265,0.0388810038566589,NoActivity,right
1696408655514663700,0.32166357421875,8.858546257019043,4.977844715118408,-1.7486650943756104,-0.0181089621037244,-0.0351526886224746,0.0639139786362648,NoActivity,right
1696408655524663600,0.33166357421875,8.606855392456055,4.5154643058776855,-1.300650119781494,0.1342193633317947,-0.1187734827399253,0.0490007176995277,NoActivity,right
1696408655534663700,0.34166357421875,8.374618530273438,3.993229150772095,-0.491110622882843,0.2018616646528244,-0.2359491139650344,-0.0095870969817042,NoActivity,right
1696408655544663600,0.35166357421875,8.307580947875977,3.91900897026062,-0.1005564704537391,0.2162422984838485,-0.2700365781784057,-0.0857512578368187,NoActivity,right
1696408655554663700,0.36166357421875,8.54460620880127,4.108150959014893,0.0095768067985773,0.2236989289522171,-0.1768286824226379,-0.1427412182092666,NoActivity,right
1696408655564663600,0.37166357421875,8.851364135742188,4.160823345184326,0.2852092683315277,0.2194380015134811,-0.0372831560671329,-0.1794917583465576,NoActivity,right
